char,pinyin,meaning,grade
衣,,第1课 识读字,1
鱼,,第1课 识读字,1
雨,,第1课 识读字,1
一,,第1课 识读字,1
二,,第1课 识读字,1
五,,第1课 识读字,1
耳,,第1课 识读字,1
牙,,第1课 识读字,1
口,,第1课 识读字,1
人,,第1课 识读字,1
一,,第1课 识写字,1
二,,第1课 识写字,1
五,,第1课 识写字,1
口,,第1课 识写字,1
人,,第1课 识写字,1
木,,第2课 识读字,1
土,,第2课 识读字,1
马,,第2课 识读字,1
八,,第2课 识读字,1
巴,,第2课 识读字,1
你,,第2课 识读字,1
我,,第2课 识读字,1
也,,第2课 识读字,1
他,,第2课 识读字,1
弟,,第2课 识读字,1
不,,第2课 识读字,1
爸,,第2课 识读字,1
她,,第2课 识读字,1
妈,,第2课 识读字,1
的,,第2课 识读字,1
父,,第2课 识读字,1
母,,第2课 识读字,1
女,,第2课 识读字,1
儿,,第2课 识读字,1
木,,第2课 识写字,1
土,,第2课 识写字,1
八,,第2课 识写字,1
也,,第2课 识写字,1
不,,第2课 识写字,1
女,,第2课 识写字,1
儿,,第2课 识写字,1
力,,第3课 识读字,1
河,,第3课 识读字,1
禾,,第3课 识读字,1
立,,第3课 识读字,1
米,,第3课 识读字,1
合,,第3课 识读字,1
气,,第3课 识读字,1
和,,第3课 识读字,1
哥,,第3课 识读字,1
几,,第3课 识读字,1
七,,第3课 识读字,1
了,,第3课 识读字,1
个,,第3课 识读字,1
句,,第3课 识读字,1
可,,第3课 识读字,1
以,,第3课 识读字,1
吗,,第3课 识读字,1
去,,第3课 识读字,1
力,,第3课 识写字,1
禾,,第3课 识写字,1
几,,第3课 识写字,1
七,,第3课 识写字,1
个,,第3课 识写字,1
可,,第3课 识写字,1
去,,第3课 识写字,1
日,,第4课 识读字,1
石,,第4课 识读字,1
子,,第4课 识读字,1
字,,第4课 识读字,1
车,,第4课 识读字,1
四,,第4课 识读字,1
十,,第4课 识读字,1
士,,第4课 识读字,1
只,,第4课 识读字,1
把,,第4课 识读字,1
尺,,第4课 识读字,1
是,,第4课 识读字,1
书,,第4课 识读字,1
出,,第4课 识读字,1
自,,第4课 识读字,1
己,,第4课 识读字,1
它,,第4课 识读字,1
吃,,第4课 识读字,1
日,,第4课 识写字,1
子,,第4课 识写字,1
车,,第4课 识写字,1
四,,第4课 识写字,1
十,,第4课 识写字,1
巴,,第4课 识写字,1
士,,第4课 识写字,1
只,,第4课 识写字,1
山,,第5课 识读字,1
羊,,第5课 识读字,1
毛,,第5课 识读字,1
草,,第5课 识读字,1
太,,第5课 识读字,1
阳,,第5课 识读字,1
王,,第5课 识读字,1
三,,第5课 识读字,1
伞,,第5课 识读字,1
包,,第5课 识读字,1
老,,第5课 识读字,1
师,,第5课 识读字,1
早,,第5课 识读字,1
安,,第5课 识读字,1
半,,第5课 识读字,1
午,,第5课 识读字,1
奶,,第5课 识读字,1
玩,,第5课 识读字,1
具,,第5课 识读字,1
山,,第5课 识写字,1
羊,,第5课 识写字,1
毛,,第5课 识写字,1
王,,第5课 识写字,1
三,,第5课 识写字,1
书,,第5课 识写字,1
早,,第5课 识写字,1
午,,第5课 识写字,1
鸟,,第6课 识读字,1
竹,,第6课 识读字,1
田,,第6课 识读字,1
苗,,第6课 识读字,1
象,,第6课 识读字,1
家,,第6课 识读字,1
刀,,第6课 识读字,1
网,,第6课 识读字,1
在,,第6课 识读字,1
里,,第6课 识读字,1
上,,第6课 识读字,1
下,,第6课 识读字,1
大,,第6课 识读字,1
小,,第6课 识读字,1
来,,第6课 识读字,1
哭,,第6课 识读字,1
笑,,第6课 识读字,1
男,,第6课 识读字,1
爷,,第6课 识读字,1
姐,,第6课 识读字,1
田,,第6课 识写字,1
刀,,第6课 识写字,1
在,,第6课 识写字,1
上,,第6课 识写字,1
下,,第6课 识写字,1
大,,第6课 识写字,1
小,,第6课 识写字,1
来,,第6课 识写字,1
果,,第7课 识读字,1
开,,第7课 识读字,1
瓜,,第7课 识读字,1
火,,第7课 识读字,1
花,,第7课 识读字,1
叶,,第7课 识读字,1
面,,第7课 识读字,1
关,,第7课 识读字,1
朵,,第7课 识读字,1
两,,第7课 识读字,1
片,,第7课 识读字,1
画,,第7课 识读字,1
笔,,第7课 识读字,1
长,,第7课 识读字,1
广,,第7课 识读字,1
多,,第7课 识读字,1
少,,第7课 识读字,1
床,,第7课 识读字,1
开,,第7课 识写字,1
火,,第7课 识写字,1
关,,第7课 识写字,1
两,,第7课 识写字,1
长,,第7课 识写字,1
广,,第7课 识写字,1
多,,第7课 识写字,1
少,,第7课 识写字,1
目,,第8课 识读字,1
舌,,第8课 识读字,1
手,,第8课 识读字,1
足,,第8课 识读字,1
本,,第8课 识读字,1
工,,第8课 识读字,1
厂,,第8课 识读字,1
走,,第8课 识读字,1
跑,,第8课 识读字,1
飞,,第8课 识读字,1
妹,,第8课 识读字,1
门,,第8课 识读字,1
看,,第8课 识读字,1
见,,第8课 识读字,1
问,,第8课 识读字,1
又,,第8课 识读字,1
头,,第8课 识读字,1
们,,第8课 识读字,1
身,,第8课 识读字,1
体,,第8课 识读字,1
目,,第8课 识写字,1
手,,第8课 识写字,1
本,,第8课 识写字,1
工,,第8课 识写字,1
门,,第8课 识写字,1
见,,第8课 识写字,1
又,,第8课 识写字,1
头,,第8课 识写字,1
牛,,第9课 识读字,1
井,,第9课 识读字,1
虫,,第9课 识读字,1
弓,,第9课 识读字,1
贝,,第9课 识读字,1
心,,第9课 识读字,1
豆,,第9课 识读字,1
六,,第9课 识读字,1
支,,第9课 识读字,1
条,,第9课 识读字,1
九,,第9课 识读字,1
粒,,第9课 识读字,1
今,,第9课 识读字,1
什,,第9课 识读字,1
么,,第9课 识读字,1
华,,第9课 识读字,1
文,,第9课 识读字,1
点,,第9课 识读字,1
说,,第9课 识读字,1
语,,第9课 识读字,1
牛,,第9课 识写字,1
贝,,第9课 识写字,1
六,,第9课 识写字,1
支,,第9课 识写字,1
九,,第9课 识写字,1
什,,第9课 识写字,1
么,,第9课 识写字,1
文,,第9课 识写字,1
月,,第10课 识读字,1
天,,第10课 识读字,1
地,,第10课 识读字,1
风,,第10课 识读字,1
雷,,第10课 识读字,1
电,,第10课 识读字,1
水,,第10课 识读字,1
寸,,第10课 识读字,1
方,,第10课 识读字,1
正,,第10课 识读字,1
反,,第10课 识读字,1
